Animal,Symptoms,Disease
Buffalo,"Reduced movement, Depression, Dullness, Lameness, Swollen joints, Reduced milk yield, High fever, Sudden fever",Bovine Ephemeral Fever
Sheep,"Sneezing, Depression, Cough, Eye discharge, Fever, Difficulty breathing, Rapid breathing, Nasal discharge",Bovine Rhinotracheitis
Sheep,"Loss of appetite, Reduced milk yield, Weight loss, Diarrhoea",Johne’s Disease
Goat,"Convulsions, Recumbency, Rapid breathing, Incoordination",Tetanus
Sheep,"Weakness, Foamy saliva, Sudden fever, Nasal bleeding, High fever, Sudden death, Rapid breathing",Anthrax
Sheep,"Diarrhoea, Dehydration, Difficulty breathing, Cough",Peste des Petits Ruminants
Sheep,"Abdominal pain, Bloat, Sudden death",Enterotoxaemia
Cow,"Neurological signs, Convulsions, Paralysis",Rabies
Sheep,"Sudden fever, High fever, Grunting sound, Reduced movement, Chest pain, Swollen joints, Recumbency, Lameness",Black Quarter
Cow,"Weakness, Pale mucous membranes, Weight loss, Anaemia, Loss of appetite, Reduced milk yield",Fascioliasis
Cow,"Nasal discharge, Diarrhoea, Dehydration, Cough, Depression",Peste des Petits Ruminants
Sheep,"Abortion, Stillbirth, Reduced fertility",Campylobacter Abortion
Buffalo,"Lameness, Cracked hooves, Hoof lesions",Foot Rot
Goat,"Eye discharge, Paralysis, Recumbency, Neurological signs, Depression, Fever, Incoordination",Listeriosis
Buffalo,"Depression, High fever, Dehydration, Diarrhoea, Sudden death, Bloody diarrhoea",Rinderpest
Goat,"Recumbency, Reduced movement, Convulsions, Rapid breathing, Incoordination",Tetanus
Sheep,"Weakness, Udder swelling, Depression, Abnormal milk, Reduced milk yield, Fever, Painful udder",Mastitis
Sheep,"Depression, Weakness, Diarrhoea, Loss of appetite, Dehydration, Lethargy, Weight loss, Fever",Calf Scour
Goat,"Weakness, Anaemia, Yellow urine, Pale mucous membranes",Anaplasmosis
Cow,"Lameness, Excess salivation, Fever, Reduced milk yield, Blisters on feet, Blisters in mouth",Foot and Mouth Disease
Sheep,"Skin lesions, Nasal discharge, Loss of appetite, Swollen lymph nodes, Depression, Skin nodules, Eye discharge",Sheep and Goat Pox
Cow,"Convulsions, Recumbency, Incoordination",Tetanus
Goat,"Skin lesions, High fever, Reduced milk yield, Skin nodules, Lameness, Eye discharge, Swollen lymph nodes, Nasal discharge",Lumpy Skin Disease (Lumpy Virus)
Cow,"Loss of appetite, Nasal discharge, High fever, Sudden death, Bloody diarrhoea, Dehydration",Rinderpest
Goat,"Dehydration, Diarrhoea, Weight loss, Lethargy, Weakness",Calf Scour
Goat,"Loss of appetite, Dehydration, Reduced milk yield, Anaemia, Depression, Weight loss",Fascioliasis
Cow,"Reduced milk yield, Weight loss, Diarrhoea",Johne’s Disease
Cow,"Weakness, Dullness, Recumbency, Lethargy, Incoordination, Depression, Reduced movement",Milk Fever
Buffalo,"Dehydration, Cough, Diarrhoea",Peste des Petits Ruminants
Cow,"Fever, Swollen joints, Infertility, Stillbirth, Abortion",Brucellosis
Cow,"Pale mucous membranes, Yellow urine, Dark urine, Weakness",Babesiosis
Buffalo,"Infertility, Stillbirth, Abortion",Brucellosis
Sheep,"Depression, Reduced milk yield, Pale mucous membranes, Loss of appetite, Dehydration, Weight loss, Anaemia",Fascioliasis
Cow,"Fever, Difficulty breathing, Cough, Eye discharge, Nasal discharge, Sneezing, Rapid breathing",Bovine Rhinotracheitis
Sheep,"Swollen lymph nodes, Loss of appetite, Depression, Skin nodules, Skin lesions, Eye discharge",Sheep and Goat Pox
Buffalo,"Nasal bleeding, Depression, Sudden death, Weakness, Rapid breathing, High fever, Foamy saliva, Sudden fever",Anthrax
Goat,"Hair loss, Skin lesions, Itching, Weight loss",Ringworm
Sheep,"Eye discharge, Sneezing, Cough",Bovine Rhinotracheitis
Sheep,"Yellow urine, Depression, Weakness, Anaemia, Fever, Pale mucous membranes, Lethargy, Weight loss",Anaplasmosis
Cow,"Diarrhoea, Dehydration, Weakness, Dullness, Bloody diarrhoea, Weight loss, Loss of appetite, Depression",Coccidiosis
Goat,"Anaemia, Lethargy, Weakness, Depression, Fever, Weight loss, Yellow urine, Pale mucous membranes",Anaplasmosis
Goat,"Incoordination, Paralysis, Fever, Recumbency, Eye discharge",Listeriosis
Sheep,"Nasal bleeding, High fever, Sudden fever, Depression, Foamy saliva, Weakness, Rapid breathing, Sudden death",Anthrax
Sheep,"Chest pain, Swollen joints, Lameness, Reduced movement, Grunting sound",Black Quarter
Buffalo,"Depression, Weakness, Nasal discharge, Swollen lymph nodes, Difficulty breathing, Sudden death, Rapid breathing, High fever",East Coast Fever
Sheep,"Depression, Nasal discharge, Facial swelling, Jaw swelling, Lameness",Blue Tongue
Goat,"Eye discharge, Depression, Loss of appetite, Fever, Neurological signs, Recumbency, Paralysis, Incoordination",Listeriosis
Buffalo,"Cracked hooves, Hoof lesions, Recumbency, Swollen joints, Lameness",Foot Rot
Cow,"Weight loss, Pale mucous membranes, Anaemia, Depression, Lethargy, Swollen lymph nodes, Weakness",Theileriosis
Sheep,"Incoordination, Recumbency, Reduced movement",Milk Fever
Sheep,"Diarrhoea, Dehydration, Cough",Peste des Petits Ruminants
Buffalo,"High fever, Rapid breathing, Sudden death, Swollen lymph nodes, Difficulty breathing, Nasal discharge",East Coast Fever
Buffalo,"Skin nodules, High fever, Skin lesions, Eye discharge, Reduced milk yield, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Lethargy, Pale mucous membranes, Anaemia, Yellow urine",Anaplasmosis
Buffalo,"Eye discharge, Difficulty breathing, Nasal discharge, Fever, Rapid breathing, Cough, Depression, Sneezing",Bovine Rhinotracheitis
Cow,"Weakness, Loss of appetite, Diarrhoea, Dehydration, Weight loss, Fever, Lethargy",Calf Scour
Sheep,"Itching, Weight loss, Skin nodules, Scratching",Mange
Cow,"Dullness, Bloody diarrhoea, Weight loss",Coccidiosis
Sheep,"Loss of appetite, Bloody diarrhoea, Weight loss, Depression, Dullness, Dehydration",Coccidiosis
Sheep,"Weight loss, Lethargy, Swollen lymph nodes, Anaemia, High fever, Pale mucous membranes",Theileriosis
Cow,"Swollen joints, Reduced movement, Sudden fever",Bovine Ephemeral Fever
Buffalo,"Incoordination, Paralysis, Eye discharge, Fever",Listeriosis
Buffalo,"Itching, Dullness, Hair loss, Scratching, Skin lesions, Skin nodules, Weight loss, Restlessness",Mange
Cow,"Eye discharge, Skin lesions, Depression, Loss of appetite, Skin nodules, Swollen lymph nodes, Fever, Nasal discharge",Sheep and Goat Pox
Sheep,"Cracked hooves, Fever, Swollen joints, Hoof lesions, Reduced movement, Lameness",Foot Rot
Sheep,"Dehydration, Depression, Difficulty breathing, Loss of appetite, High fever, Diarrhoea, Cough, Nasal discharge",Peste des Petits Ruminants
Buffalo,"Painful udder, Depression, Abnormal milk, Reduced milk yield, Udder swelling, Weakness, Fever",Mastitis
Goat,"Skin lesions, Skin nodules, Swollen lymph nodes",Sheep and Goat Pox
Cow,"Itching, Skin nodules, Weight loss, Scratching, Skin lesions, Dullness",Mange
Sheep,"Hair loss, Scratching, Skin lesions, Itching, Restlessness, Skin nodules",Mange
Sheep,"Rapid breathing, Sudden death, Swollen lymph nodes, Difficulty breathing, Nasal discharge",East Coast Fever
Goat,"Nasal discharge, Dehydration, High fever, Bloody diarrhoea, Sudden death",Rinderpest
Goat,"Dehydration, Anaemia, Diarrhoea, Depression",Amphistomiasis
Buffalo,"Itching, Weight loss, Scratching, Skin lesions, Skin nodules",Mange
Buffalo,"Skin lesions, Hair loss, Itching, Depression",Ringworm
Buffalo,"Depression, Weakness, Sudden death, Rapid breathing, Sudden fever, Nasal bleeding, High fever, Foamy saliva",Anthrax
Buffalo,"Swollen lymph nodes, Skin nodules, Skin lesions",Sheep and Goat Pox
Buffalo,"Reduced fertility, Abortion, Depression, Stillbirth, Infertility, Weakness",Brucellosis
Buffalo,"Fever, Reduced movement, Hoof lesions, Lameness, Cracked hooves",Foot Rot
Goat,"Depression, Sudden fever, High fever, Swollen joints, Reduced milk yield, Lameness, Reduced movement",Bovine Ephemeral Fever
Buffalo,"Lameness, Recumbency, Grunting sound, Swollen joints, Reduced movement, Sudden fever, Chest pain",Black Quarter
Buffalo,"Loss of appetite, Incoordination, Fever, Depression, Neurological signs, Paralysis, Eye discharge",Listeriosis
Sheep,"Pale mucous membranes, Yellow urine, Anaemia",Anaplasmosis
Cow,"Reduced milk yield, Dehydration, Weight loss, Anaemia, Loss of appetite",Fascioliasis
Cow,"Swollen lymph nodes, Weakness, Lethargy, Anaemia",Theileriosis
Cow,"Eye discharge, Reduced milk yield, Skin lesions, Lameness, Skin nodules, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Goat,"High fever, Swollen joints, Depression, Reduced milk yield, Sudden fever, Lameness, Reduced movement",Bovine Ephemeral Fever
Buffalo,"Loss of appetite, Weight loss, Bloody diarrhoea, Dehydration, Diarrhoea, Depression, Dullness, Weakness",Coccidiosis
Sheep,"Recumbency, Reduced movement, Incoordination, Loss of appetite, Weakness, Depression",Milk Fever
Goat,"Bloody diarrhoea, Weakness, Diarrhoea, High fever, Sudden death",Salmonellosis
Sheep,"Facial swelling, Rapid breathing, Jaw swelling, Nasal discharge, Depression, Sudden death",Haemorrhagic Septicaemia
Buffalo,"Dehydration, High fever, Loss of appetite, Diarrhoea, Sudden death, Depression, Nasal discharge, Bloody diarrhoea",Rinderpest
Buffalo,"Skin nodules, Swollen lymph nodes, Nasal discharge, Lameness, Skin lesions, High fever, Eye discharge, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Goat,"Lameness, High fever, Facial swelling, Jaw swelling",Blue Tongue
Buffalo,"Yellow urine, Pale mucous membranes, High fever, Dark urine",Babesiosis
Sheep,"Swollen joints, Lameness, Hoof lesions, Cracked hooves",Foot Rot
Sheep,"Weakness, Reduced milk yield, Dehydration, Anaemia, Weight loss",Fascioliasis
Cow,"Fever, Incoordination, Paralysis, Recumbency, Eye discharge",Listeriosis
Sheep,"Abortion, Stillbirth, Fever, Reduced fertility",Campylobacter Abortion
Cow,"Stillbirth, Infertility, Abortion, Swollen joints",Brucellosis
Cow,"Lameness, Swollen joints, Loss of appetite, Fever, Cracked hooves, Hoof lesions, Recumbency",Foot Rot
Goat,"Depression, Facial swelling, Lameness, Difficulty breathing, High fever, Rapid breathing, Jaw swelling",Blue Tongue
Cow,"Dark urine, Pale mucous membranes, Yellow urine",Babesiosis
Goat,"Convulsions, Paralysis, Difficulty breathing, Neurological signs",Rabies
Buffalo,"Sudden death, Bloat, Abdominal pain",Enterotoxaemia
Cow,"Diarrhoea, Depression, Dullness, Weight loss, Bloody diarrhoea",Coccidiosis
Buffalo,"Reduced milk yield, Weight loss, Diarrhoea",Johne’s Disease
Cow,"Swollen joints, High fever, Sudden fever, Lameness, Grunting sound, Chest pain, Recumbency, Reduced movement",Black Quarter
Cow,"Depression, Loss of appetite, High fever, Diarrhoea, Bloody diarrhoea, Sudden death, Nasal discharge, Dehydration",Rinderpest
Cow,"Stillbirth, Abortion, Reduced fertility",Campylobacter Abortion
Sheep,"Lethargy, Depression, Dark urine, Pale mucous membranes, High fever, Yellow urine, Anaemia",Babesiosis
Cow,"Excess salivation, Blisters in mouth, Hoof lesions, Blisters on feet",Foot and Mouth Disease
Goat,"Depression, Fever, Diarrhoea, Lethargy, Weakness, Dehydration",Calf Scour
Buffalo,"Incoordination, Paralysis, Eye discharge, Recumbency",Listeriosis
Buffalo,"Depression, Fever, Udder swelling, Loss of appetite, Abnormal milk, Painful udder",Mastitis
Goat,"Hair loss, Weight loss, Skin lesions, Depression, Dullness, Loss of appetite, Scratching, Itching",Ringworm
Goat,"Weakness, Pale mucous membranes, Lethargy, Anaemia, Yellow urine, Fever",Anaplasmosis
Sheep,"Swollen joints, Sudden fever, Depression, Reduced movement",Bovine Ephemeral Fever
Sheep,"Abortion, Fever, Swollen joints, Weakness, Stillbirth, Infertility, Depression",Brucellosis
Cow,"High fever, Difficulty breathing, Lameness, Jaw swelling, Facial swelling",Blue Tongue
Cow,"Loss of appetite, Hoof lesions, Lameness, Reduced movement, Cracked hooves, Swollen joints, Recumbency, Fever",Foot Rot
Buffalo,"Pale mucous membranes, Dark urine, High fever, Weakness, Lethargy, Yellow urine, Anaemia, Depression",Babesiosis
Cow,"Weight loss, Hair loss, Scratching, Restlessness, Skin nodules, Dullness, Itching, Skin lesions",Mange
Buffalo,"Weakness, Anaemia, Dark urine, High fever, Yellow urine, Lethargy, Depression, Pale mucous membranes",Babesiosis
Goat,"Reduced milk yield, Weight loss, Dullness, Depression, Diarrhoea",Johne’s Disease
Goat,"Sneezing, Difficulty breathing, Cough, Eye discharge",Bovine Rhinotracheitis
Goat,"Dehydration, Bloody diarrhoea, Sudden death",Rinderpest
Sheep,"Fever, Hoof lesions, Blisters on feet, Lameness, Reduced milk yield, Drooling, Blisters in mouth, Excess salivation",Foot and Mouth Disease
Cow,"Reduced milk yield, Weight loss, Anaemia",Fascioliasis
Buffalo,"Loss of appetite, Depression, Bloody diarrhoea, High fever, Nasal discharge, Sudden death, Diarrhoea, Dehydration",Rinderpest
Sheep,"Recumbency, Reduced movement, Swollen joints, Fever, Hoof lesions, Cracked hooves, Lameness",Foot Rot
Cow,"Foamy saliva, Sudden death, Nasal bleeding",Anthrax
Buffalo,"Infertility, Depression, Fever, Weakness, Swollen joints, Reduced fertility, Abortion, Stillbirth",Brucellosis
Cow,"Neurological signs, Eye discharge, Depression, Loss of appetite, Paralysis, Incoordination",Listeriosis
Cow,"Recumbency, Eye discharge, Depression, Fever, Paralysis, Neurological signs, Incoordination",Listeriosis
Goat,"High fever, Weakness, Dark urine, Depression, Pale mucous membranes, Lethargy, Yellow urine",Babesiosis
Sheep,"Weakness, Fever, Reduced milk yield, Abnormal milk, Udder swelling, Painful udder",Mastitis
Goat,"Nasal discharge, Cough, Difficulty breathing, Eye discharge, Fever, Rapid breathing, Depression, Sneezing",Bovine Rhinotracheitis
Goat,"Sudden death, Rapid breathing, Weakness, Depression, Nasal discharge, Swollen lymph nodes",East Coast Fever
Buffalo,"Depression, Fever, Painful udder, Udder swelling, Reduced milk yield, Loss of appetite, Abnormal milk, Weakness",Mastitis
Goat,"Skin nodules, Swollen lymph nodes, Lameness, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Swollen joints, High fever, Reduced milk yield, Reduced movement, Dullness, Sudden fever, Lameness, Depression",Bovine Ephemeral Fever
Buffalo,"Loss of appetite, Dehydration, Weakness, Fever, Diarrhoea, Depression, Lethargy, Weight loss",Calf Scour
Cow,"Eye discharge, Loss of appetite, Paralysis, Incoordination, Depression",Listeriosis
Sheep,"Lameness, Jaw swelling, Difficulty breathing, Facial swelling",Blue Tongue
Goat,"Jaw swelling, Facial swelling, Lameness",Blue Tongue
Goat,"Pale mucous membranes, Yellow urine, Anaemia, Weakness",Anaplasmosis
Buffalo,"Weight loss, Anaemia, Loss of appetite, Reduced milk yield, Pale mucous membranes, Dehydration",Fascioliasis
Buffalo,"Dehydration, Depression, Diarrhoea, Cough",Peste des Petits Ruminants
Goat,"Nasal discharge, Swollen lymph nodes, Lameness, Reduced milk yield, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"Restlessness, Neurological signs, Incoordination, Recumbency, Convulsions",Tetanus
Buffalo,"Depression, Loss of appetite, Sudden death, High fever, Diarrhoea, Dehydration, Nasal discharge, Bloody diarrhoea",Rinderpest
Buffalo,"Chest pain, Swollen joints, Grunting sound",Black Quarter
Goat,"High fever, Rapid breathing, Facial swelling, Jaw swelling",Haemorrhagic Septicaemia
Goat,"Itching, Hair loss, Skin lesions, Loss of appetite",Ringworm
Goat,"Dehydration, Diarrhoea, Weakness, Lethargy, Fever",Calf Scour
Cow,"Anaemia, Diarrhoea, Dehydration",Amphistomiasis
Goat,"Lethargy, Reduced movement, Weakness, Depression, Recumbency, Incoordination, Loss of appetite",Milk Fever
Cow,"Pale mucous membranes, High fever, Yellow urine, Dark urine",Babesiosis
Goat,"Weakness, Incoordination, Reduced movement, Recumbency",Milk Fever
Buffalo,"Skin lesions, Swollen lymph nodes, Skin nodules",Sheep and Goat Pox
Sheep,"Depression, Bloody diarrhoea, Weight loss, Weakness, Dullness",Coccidiosis
Buffalo,"Diarrhoea, Weight loss, Weakness, Dullness, Dehydration, Depression, Reduced milk yield",Johne’s Disease
Sheep,"Dullness, Itching, Skin nodules, Scratching, Weight loss, Hair loss, Skin lesions, Restlessness",Mange
Buffalo,"Sudden death, Foamy saliva, Nasal bleeding, Sudden fever, Depression",Anthrax
Buffalo,"Sudden death, High fever, Depression, Loss of appetite, Bloody diarrhoea, Dehydration, Weakness, Diarrhoea",Salmonellosis
Cow,"Blisters in mouth, Blisters on feet, Excess salivation, Fever",Foot and Mouth Disease
Cow,"Fever, Difficulty breathing, Cough, Sneezing, Eye discharge",Bovine Rhinotracheitis
Cow,"Neurological signs, Paralysis, Depression, Loss of appetite, Recumbency, Incoordination, Eye discharge, Fever",Listeriosis
Goat,"Lethargy, Weight loss, Diarrhoea, Weakness, Dehydration, Depression, Fever",Calf Scour
Sheep,"Dullness, Incoordination, Reduced movement, Loss of appetite, Recumbency, Lethargy, Weakness",Milk Fever
Buffalo,"Loss of appetite, Weight loss, Dehydration, Diarrhoea, Weakness, Anaemia, Depression, Dullness",Amphistomiasis
Sheep,"Incoordination, Recumbency, Loss of appetite, Reduced movement, Lethargy",Milk Fever
Goat,"Loss of appetite, Incoordination, Recumbency, Eye discharge, Fever, Paralysis, Depression, Neurological signs",Listeriosis
Buffalo,"Blisters in mouth, Blisters on feet, Excess salivation",Foot and Mouth Disease
Buffalo,"Reduced milk yield, Anaemia, Weight loss",Fascioliasis
Buffalo,"Foamy saliva, Difficulty breathing, Sudden death, Neurological signs, Paralysis, Convulsions, Incoordination, Restlessness",Rabies
Sheep,"Dehydration, Sudden death, Bloody diarrhoea, Loss of appetite, High fever, Diarrhoea, Depression",Salmonellosis
Cow,"Anaemia, Depression, Yellow urine, Pale mucous membranes",Anaplasmosis
Cow,"High fever, Diarrhoea, Cough, Difficulty breathing, Dehydration, Loss of appetite",Peste des Petits Ruminants
Buffalo,"Pale mucous membranes, Loss of appetite, Depression, Reduced milk yield, Anaemia, Dehydration, Weakness, Weight loss",Fascioliasis
Goat,"Dehydration, Nasal discharge, Diarrhoea, Cough",Peste des Petits Ruminants
